Word,Part of Speech,CEFR Level
forcefully,adverb,B2
forecast,noun,B1
forehead,noun,B1
foreign,adj.,A2
foreigner,n.,C1
foreman,noun,B2
foresee,verb,B2
forest,n.,A2
forestry,noun,B2
forever,adv.,B1
forge,v.,C1
forget,v.,A1
forgive,v.,B2
fork,n.,A2
form,verb,B1
formal,adj.,A2
formally,adverb,B1
format,n.,B2
formation,n.,B2
former,adj.,B2
formerly,adv.,B2
formidable,adjective,B2
formula,n.,C1
formulate,v.,C1
forth,adv.,C1
forthcoming,adj.,C1
fortnight,noun,B1
fortunate,adj.,B2
fortunately,adv.,A2
fortune,n.,B2
forty,number,A1
forum,n.,B2
forward,adverb,A2
fossil,n.,B2
foster,v.,C1
foul,adjective,B2
found,v.,B2
foundation,n.,B2
founder,n.,B2
fountain,noun,B1
four,number,A1
fourteen,number,A1
fox,noun,B2
fraction,n.,B2
fragile,adj.,C1
fragment,n.,B2
fragrance,noun,B2
frame,verb,B2
framework,n.,B2
franchise,n.,C1
frank,adjective,A2
frankly,adv.,C1
frantically,adverb,B2
fraud,n.,B2
freak,verb,B2
free,verb,B2
freedom,n.,B2
freely,adv.,B2
freeze,v.,B1
freezer,noun,B1
freezing,adjective,B1
frequency,n.,B2
frequent,adj.,B2
frequently,adv.,B1
fresh,adj.,A2
freshman,noun,B1
fridge,n.,A2
fried,adjective,A2
friend,n.,A1
friendliness,noun,B1
friendly,adj.,A1
friendship,n.,B1
frigate,noun,B2
fright,noun,B1
frighten,v.,B1
frightened,adj.,B1
frightening,adj.,B1
frog,n.,A2
from,preposition,A1
front,noun,A2
frontier,noun,B2
frost,noun,B1
frozen,adj.,B1
frugal,adjective,B2
fruit,n.,A1
frustrated,adj.,C1
frustrating,adj.,C1
frustration,n.,C1
fry,v.,B1
frying pan,noun,B1
fuel,noun,B1
fulfil,v.,B2
fulfill/fulfil,verb,B2
full,adj.,A1
full stop,noun,B1
full-time,adverb,B1
fully,adv.,B2
fume,noun,B2
fun,noun,A1
function,verb,A2
functional,adj.,C1
functionality,noun,B2
fund,verb,B1
fundamental,adj.,B2
fundamentally,adv.,B2
funding,n.,B2
fundraising,n.,C1
funeral,n.,C1
funk,noun,B2
funky,adjective,B2
funny,adj.,A1
fur,n.,B1
furious,adj.,B2
furiously,adverb,B2
furnish,verb,B1
furniture,n.,A2
furor/furore,noun,B2
further,adverb,B1
furthermore,adv.,B2
furthest,adverb,B1
fuss,noun,B1
future,noun,A1
gaiety,noun,B2
gain,verb,B1
gall,noun,B1
gallery,n.,A2
gallon,n.,C1
gambling,n.,C1
game,n.,A1
gaming,n.,B2
gang,n.,B2
gangster,noun,B2
gap,n.,A2
garage,n.,B1
garbage,n.,A2
garden,n.,A1
gardener,noun,B2
gardening,noun,B1
garlic,noun,A2
garment,noun,B1
gas,n.,A2
gasp,noun,B2
gate,n.,A2
gateway,noun,B2
gather,v.,B1
gathering,n.,C1
gaudy,adjective,B2
gay,adj.,B2
gaze,noun,B2
gear,n.,C1
gee,interjection,B1
gender,n.,B2
gene,n.,B2
general,adj.,A2
generalization/generalisation,noun,B2
generalize/generalise,verb,B2
generally,adv.,B1
generate,v.,B2
generation,n.,B1
generic,adj.,C1
generosity,noun,B2
generous,adj.,B1
generously,adverb,B2
genetic,adj.,B2
genetically,adverb,B1
genetics,noun,B1
genius,n.,B2
genocide,n.,C1
genre,n.,B2
gentle,adj.,B1
gentleman,n.,B1
gently,adverb,B2
genuine,adj.,B2
genuinely,adv.,B2
geographic,adjective,B2
geographical,adjective,B1
geography,n.,A1
geology,noun,B1
germ,noun,B2
gesture,n.,B2
get,v.,A1
getaway,noun,B2
ghetto,noun,B2
ghost,n.,B1
giant,adjective,B1
gift,n.,A2
gifted,adjective,B1
gig,n.,B2
giggle,noun,B1
ginger,noun,B1
giraffe,noun,B1
girl,n.,A1
girlfriend,n.,A1
give,v.,A1
giveaway,noun,B2
given,adjective,A2
glacis,noun,B2
glad,adj.,B1
glamorous/glamourous,adjective,B2
glance,verb,B1
glare,noun,B2
glass,n.,A1
glasses,noun,A1
gleam,noun,B2
glee,noun,B2
glide,noun,B1
glimpse,n.,C1
glint,noun,B1
global,adj.,B1
global warming,noun,B2
globalization,n.,B2
globally,adverb,B2
globe,n.,B2
glocal,adjective,B2
gloomy,adjective,B2
glorify,verb,B2
glorious,adj.,C1
glory,n.,C1
glove,n.,B1
glow,noun,B2
go,verb,A1
goal,n.,A2
goalkeeper,noun,B1
goat,noun,B2
god,n.,A2
goddess,noun,B1
godly,adjective,B2
gold,noun,A2
golden,adj.,B2
golf,n.,A2
golfer,noun,B1
good,noun,B2
good afternoon,interjection,A1
good morning,interjection,A1
good night,interjection,A1
good-looking,adjective,A2
goodness,n.,B2
goods,n.,B2
goodwill,noun,B2
gook,noun,B2
gorge,noun,B2
gorgeous,adj.,B2
gorilla,noun,B1
gossip,verb,B2
govern,v.,B2
governance,n.,C1
government,n.,A2
governmental,adjective,B2
governor,n.,B2
gown,noun,B1
grab,v.,B2
grace,n.,C1
graceful,adjective,B1
gracefulness,noun,B2
grade,verb,B2
gradual,adjective,B2
gradually,adv.,B2
graduate,verb,A2
graduation,noun,B1
grain,n.,B1
gram/gramme,noun,A2
grammar,noun,A1
grand,adj.,B2
grandchild,noun,A2
granddad,noun,A2
granddaughter,noun,A2
grandfather,n.,A1
grandma,noun,A1
grandmother,n.,A1
grandpa,noun,A1
grandparent,n.,A1
grandson,noun,A2
granny,noun,A2
grant,verb,B1
grape,noun,A1
graph,noun,B1
graphic,adj.,B2
graphically,adverb,B2
graphics,n.,B2
grasp,noun,B2
grass,n.,A2
grateful,adj.,B1
gratitude,noun,B1
grave,noun,B1
gravestone,noun,B2
gravitation,noun,B2
gravity,n.,C1
gravy,noun,B1
gray/grey,noun,A1
great,adj.,A1
greatly,adv.,B2
greatness,noun,B2
greedy,adjective,A2
green,noun,A2
greenhouse,n.,B2
greet,v.,A2
greeting,noun,B1
grid,n.,C1
grief,n.,C1
grieve,verb,B2
grill,verb,B1
grilled,adjective,A2
grim,adjective,B2
grin,noun,B2
grind,v.,C1
grip,verb,B2
grocery,n.,B2
grocery store,noun,A2
groom,noun,B1
gross,adj.,C1
ground,n.,A2
ground floor,noun,B1
group,n.,A1
grouping,noun,B1
grow,v.,A1
growing,adjective,B2
grown-up,noun,B2
growth,n.,B1
guarantee,verb,B2
guard,verb,B2
guerrilla,n.,C1
guess,verb,A1
guest,n.,A2
guidance,n.,C1
guide,verb,B1
guidebook,noun,A2
guideline,n.,B2
guilt,n.,C1
guilty,adj.,B1
guitar,n.,A1
guitarist,noun,B1
gulp,noun,B2
gum,noun,B2
gun,n.,A2
gunshot,noun,B2
gut,n.,C1
guts,noun,B2
guy,n.,A2
gym,n.,A1
gymnastic,adjective,B2
gymnastics,noun,B1
habit,n.,A2
habitant,noun,B2
habitat,n.,B2
had,have-verb,A1
hail,v.,C1
hair,n.,A1
haircut,noun,A1
hairdresser,noun,B1
hairdryer,noun,B1
hairy,adjective,B2
half,pronoun,A2
half-price,adverb,A2
halfway,adv.,C1
hall,n.,A2
ham,noun,A2
hamburger,noun,A1
hammer,verb,B2
hand,verb,A2
hand-held,adjective,B1
handbag,noun,A2
handball,noun,B1
handful,n.,C1
handicap,noun,B2
handicapped,adjective,A2
handicraft,noun,B2
handkerchief,noun,B1
handle,verb,B1
handling,n.,C1
handout,noun,B2
handrail,noun,B2
handshake,noun,B1
handsome,adjective,A1
handwriting,noun,B1
handy,adj.,C1
hang,v.,B1
hanging,adjective,B1
happen,v.,A1
happily,adv.,A2
happiness,n.,B1
happy,adj.,A1
harassment,n.,C1
harbor/harbour,noun,B1
harbour,n.,B2
hard,adverb,A1
hard drive,noun,B2
hard-working,adjective,B1
hardly,adv.,B1
hardship,noun,B1
hardware,n.,C1
harm,verb,A2
harmful,adj.,B2
harmless,adjective,B2
harmony,n.,C1
harness,noun,B1
harrow,noun,B2
harsh,adj.,C1
harvest,noun,A2
has,have-verb,A1
haste,noun,B2
hastily,adverb,B2
hasty,adjective,B1
hat,n.,A1
hatch,noun,B1
hatching,noun,B2
hate,verb,A2
hatred,noun,B1
haunt,v.,C1
haunting,adjective,B2
have,have-verb,A1
have to,modal auxiliary,A1
haven,noun,B1
hay,noun,B2
hazard,n.,C1
hazardous,adjective,B2
he,pronoun,A1
head,verb,A2
headache,n.,A2
headline,n.,B1
headphone,noun,A2
headquarters,n.,B2
headteacher,noun,A2
heal,v.,B2
healing,adjective,B1
health,n.,A1
health care,noun,B2
healthcare,n.,B2
healthy,adj.,A1
heap,verb,B2
hear,v.,A1
hearing,n.,B2
heart,n.,A2
heart attack,noun,B1
heartbreaking,adjective,B2
hearted,adjective,B1
heartwarming/heart-warming,adjective,B2
hearty,adjective,B1
heat,verb,B1
heater,noun,B1
heating,n.,B1
heaven,n.,B2
heavenly,adjective,B1
heavily,adv.,B1
heavy,adj.,A2
hedge,noun,B2
heel,n.,B2
height,n.,A2
heighten,v.,C1
helicopter,n.,B1
hell,n.,B2
hello,noun,A1
helmet,n.,B2
help,verb,A1
helper,noun,B2
helpful,adj.,A2
helpless,adjective,B1
hemp,noun,B2
hence,adv.,B2
her,pronoun,A1
herb,n.,B2
herd,noun,B1
here,adv.,A1
heritage,n.,C1
hero,n.,A2
hers,pronoun,A1
herself,pronoun,A2
hesitate,v.,B2
hesitation,noun,B2
hey,interjection,A2
hi,interjection,A1
hidden,adj.,B2
hide,v.,A2
hierarchy,n.,C1
high,adverb,A2
high school,noun,A2
high-profile,adj.,C1
high-tech/hi-tech,adjective,B2
highlight,verb,B1
highly,adv.,B1
highway,n.,B2
hijack,verb,B2
hike,noun,A2
hiking,noun,A2
hilarious,adj.,B2
hill,n.,A2
him,pronoun,A1
himself,pronoun,A2
hint,noun,B2
hip,n.,B2
hip hop/hip-hop/hiphop,noun,A2
hire,verb,B1
his,pronoun,A1
historian,n.,B2
historic,adj.,B1
historical,adj.,B1
history,n.,A1
hit,verb,A2
hobby,n.,A1
hockey,n.,A2
hold,verb,A2
holder,noun,B2
hole,n.,A2
holiday,n.,A2
hollow,adj.,B2
holocaust,noun,B2
holy,adj.,B2
home,noun,A1
homeland,n.,C1
homeless,adj.,B2
hometown,noun,A1
homeward,adjective,B2
homework,n.,A1
hone,noun,B2
honest,adj.,B1
honestly,adverb,B1
honesty,n.,B2
honey,noun,A2
honeymoon,noun,B1
honor/honour,verb,B2
honorable/honourable,adjective,B2
hood,noun,B2
hook,verb,B2
hop,noun,B1
hope,verb,B1
hopeful,adj.,C1
hopefully,adv.,B2
hopeless,adjective,B1
horizon,n.,C1
horn,n.,C1
horrible,adj.,B1
horrify,verb,B1
horror,n.,B1
horse,n.,A1
hospice,noun,B2
hospitable,adjective,B2
hospital,n.,A1
hospitality,noun,B2
hospitalize/hospitalise,verb,B2
host,noun,A2
hostage,n.,C1
hostel,noun,B1
hostile,adj.,C1
hostility,n.,C1
hot,adj.,A1
hotel,n.,A1
hour,n.,A1
hourly,adjective,B2
house,noun,A1
household,n.,B2
housekeeper,noun,B2
housemaster,noun,B2
housewife,noun,B2
housework,noun,B1
housing,n.,B2
hover,verb,B2
how,adv.,A1
however,adv.,A1
hug,verb,A2
huge,adj.,A2
hugely,adverb,B2
human,noun,B1
human rights,noun,B2
humane,adjective,B2
humanist,noun,B2
humanitarian,adj.,C1
humanity,n.,C1
humanize/humanise,verb,B2
humble,adj.,C1
humbug,noun,B2
humid,adjective,B1
humiliate,verb,B2
humiliating,adjective,B2
humiliation,noun,B2
humor,n.,B2
humor/humour,noun,B1
humorous,adj.,B2
humour,n.,B2
hundred,number,A2
hunger,n.,B2
hungry,adj.,A1
hunt,verb,B1
hunter,noun,A2
hunting,n.,B2
hurricane,n.,B1
hurriedly,adverb,B1
hurry,verb,A2
hurt,verb,A1
husband,n.,A1
hush,verb,B2
hut,noun,B1
hybrid,adjective,B2
hydrogen,n.,C1
hygiene,noun,B2
hyperbole,noun,B2
hyphen,noun,B2
hypothesis,n.,B2
ice,n.,A1
ice cream,noun,A1
ice hockey,noun,B1
ice skating,noun,B1
iceman,noun,B2
icon,n.,B2
icy,adjective,B2
idea,n.,A1
ideal,adjective,A1
ideally,adverb,B2
identical,adj.,B2
identification,n.,C1
identify,v.,A2
identity,n.,B1
identity card,noun,B1
ideological,adj.,C1
ideology,n.,C1
idiom,noun,B1
idiot,n.,C1
idle,adjective,B2
idol,noun,B1
idolize/idolise,verb,B2
if,conjunction,A1
ignorance,n.,C1
ignorant,adjective,B2
ignore,v.,B1
ill,adj.,A2
illegal,adj.,B1
illegally,adverb,B1
illness,n.,A2
illuminate,verb,B1
illusion,n.,B2
illustrate,v.,B2
illustration,n.,B2
image,n.,A2
imagery,n.,C1
imaginary,adj.,B1
imagination,n.,B2
imagine,v.,A1
imitate,verb,B1
imitation,noun,B2
immediate,adj.,B1
immediately,adv.,A2
immense,adj.,C1
immerse,verb,B2
immigrant,n.,B1
immigrate,verb,B1
immigration,n.,B2
imminent,adj.,C1
immoral,adjective,B2
immortal,adjective,B2
immortality,noun,B2
immune,adj.,B2
impact,noun,A2
impair,verb,B1
impartial,adjective,B2
impatient,adj.,B2
impatiently,adverb,B2
imperative,noun,B2
impermanent,adjective,B2
implement,v.,B2
implementation,n.,C1
implication,n.,B2
imply,v.,B2
impolite,adjective,B2
impolitely,adverb,B2
import,verb,B2
importance,n.,B1
important,adj.,A1
importantly,adverb,A2
impose,v.,B2
impossibility,noun,B2
impossible,adj.,A2
impractical,adjective,B2
impress,v.,B2
impressed,adj.,B2
impression,n.,B1
impressionism,noun,B2
impressionist,noun,B2
impressive,adj.,B1
imprison,v.,C1
imprisonment,n.,C1
improbable,adjective,B2
improper,adjective,B1
improperly,adverb,B2
improve,v.,A1
improved,adjective,B2
improvement,n.,B1
impulse,noun,B2
impulsive,adjective,B2
in,preposition,A1
inability,n.,C1
inaccurate,adjective,B2
inadequate,adj.,C1
inanimate,adjective,B2
inappropriate,adj.,C1
inborn,adjective,B2
incense,noun,B2
incentive,n.,B2
inch,n.,B2
incidence,n.,C1
incident,n.,B2
inclined,adj.,C1
include,v.,A1
included,adj.,A2
including,preposition,B1
inclusion,n.,C1
income,n.,B2
inconvenient,adjective,B1
incorporate,v.,B2
incorrect,adj.,B2
increase,verb,A2
increasingly,adv.,B2
incredible,adj.,A2
incredibly,adv.,B1
incur,v.,C1
incurable,adjective,B2
indebted,adjective,B2
indeed,adv.,B1
indefinite article,noun,B1
indent,verb,B2
independence,n.,B2
independent,adj.,A2
independently,adverb,B2
indescribable,adjective,B2
index,n.,B2
indicate,v.,B1
indication,n.,B2
indicator,n.,C1
indictment,n.,C1
indifferent,adjective,B2
indigenous,adj.,C1
indignity,noun,B2
indirect,adj.,B1
indirectly,adverb,B1
indispensable,adjective,B2
individual,noun,B2
indoor,adj.,B1
indoors,adv.,B1
induce,v.,C1
indulge,v.,C1
indulgent,adjective,B2
industrial,adj.,B2
industrialize/industrialise,verb,B2
industry,n.,A2
ineffective,adjective,B2
inequality,n.,C1
inert,adjective,B2
inevitable,adj.,B2
inevitably,adv.,B2
inexpensive,adjective,A2
inexperienced,adjective,B2
infamous,adj.,C1
infant,n.,C1
infect,v.,C1
infected,adjective,B2
infection,n.,B2
infectious,adjective,B2
infer,v.,B2
inference,noun,B2
infinitive,noun,B1
inflammation,noun,B2
inflammatory,adjective,B2
inflate,verb,B2
inflation,n.,B2
inflict,v.,C1
influence,verb,B2
influential,adj.,C1
influenza,noun,B2
info,n.,B2
inform,v.,B2
informal,adj.,A2
information,n.,A1
informative,adjective,B1
infrastructure,n.,B2
infringe,verb,B2
infringement,noun,B2
ingredient,n.,B1
inhabit,verb,B2
inhabitant,n.,B2
inhale,verb,B1
inherent,adj.,C1
inherit,v.,B2
inhibit,v.,C1
initial,adj.,B2
initially,adv.,B2
initiate,v.,C1
initiative,n.,B2
inject,v.,C1
injection,n.,C1
injure,v.,B1
injured,adj.,B1
injury,n.,A2
injustice,n.,C1
ink,n.,B2
inmate,n.,C1
innate,adjective,B2
inner,adj.,B2
innermost,adjective,B1
innocent,adj.,B1
innocently,adverb,B2
innovation,n.,B2
innovative,adj.,B2
innovator,noun,B1
input,n.,B2
inquire/enquire,verb,B2
inquiry,n.,B2
inquiry/enquiry,noun,B1
insane,adjective,B1
inscribe,verb,B1
inscription,noun,B1
insect,n.,A2
inseparable,adjective,B2
insert,v.,B2
insertion,n.,C1
inside,preposition,A1
insider,n.,C1
insight,n.,B2
insist,v.,B2
inspect,v.,C1
inspection,n.,C1
inspector,n.,B2
inspiration,n.,C1
inspirational,adjective,B2
inspire,v.,B2
install,v.,B2
install/instal,verb,B1
installation,n.,B2
instance,n.,B2
instant,adj.,B2
instantly,adv.,B2
instead,adv.,A2
instead of,preposition,B1
instill/instil,verb,B2
instinct,n.,C1
institute,n.,B2
institution,n.,B2
institutional,adj.,C1
instruct,v.,C1
instruction,n.,A2
instructor,n.,A2
instrument,n.,A2
instrumental,adj.,C1
insufficient,adj.,C1
insult,verb,B2
insurance,n.,B2
intact,adj.,C1
intake,n.,C1
integral,adj.,C1
integrate,v.,B2
integrated,adj.,C1
integration,n.,C1
integrity,n.,C1
intellectual,noun,B2
intelligence,n.,B1
intelligent,adj.,A2
intend,v.,B1
intended,adj.,B2
intense,adj.,B2
intensify,v.,C1
intensity,n.,C1
intensive,adj.,C1
intent,n.,C1
intention,n.,B1
intentionally,adverb,B1
interact,v.,B2
interaction,n.,B2
interactive,adj.,C1
interest,verb,B1
interested,adj.,A1
interesting,adj.,A1
interface,n.,C1
interfere,v.,C1
interference,n.,C1
interim,adj.,C1
interior,noun,B2
intermediate,adj.,C1
intermission,noun,B1
internal,adj.,B2
international,adj.,A2
internationally,adverb,B1
internet,n.,A1
interpersonal,adjective,B2
interpret,v.,B2
interpretation,n.,B2
interpreter,noun,B2
interrupt,v.,B2
interruption,noun,B2
intersection,noun,B2
interval,n.,B2
intervene,v.,C1
intervention,n.,C1
interview,verb,B1
interviewee,noun,B1
interviewer,noun,A1
intimate,adj.,C1
into,preposition,A1
intransitive,adjective,B2
intravenous,adjective,B2
intriguing,adj.,C1
introduce,v.,A1
introduction,n.,A2
intrude,verb,B2
intruder,noun,B2
intrusion,noun,B2
invade,v.,B2
invariable,adjective,B2
invariably,adverb,B2
invasion,n.,B2
invent,v.,A2
invention,n.,A2
inventor,noun,B2
inverted commas,noun,B2
invest,v.,B1
investigate,v.,B1
investigation,n.,B2
investigator,n.,C1
investment,n.,B2
investor,n.,B2
invisible,adj.,C1
invitation,n.,A2
invite,v.,A2
invitingly,adverb,B2
invoke,v.,C1
involuntarily,adverb,B1
involve,v.,A2
involved,adj.,B1
involvement,n.,C1
iron,verb,B1
ironic,adj.,C1
ironically,adv.,C1
ironing,noun,B1
irony,n.,C1
irrational,adjective,B2
irregular,adjective,B1
irrelevant,adj.,C1
irresistible,adjective,B2
irresistibly,adverb,B2
irresponsible,adjective,B2
irritate,verb,B1
irritated,adjective,B2
irritating,adjective,B2
irritation,noun,B2
is,be-verb,A1
island,n.,A1
islander,noun,B2
isle,noun,B1
isolate,v.,B2
isolated,adj.,B2
isolation,n.,C1
issue,verb,B2
it,pronoun,A1
italicize/italicise,verb,B2
itch,verb,B2
item,n.,A2
its,pronoun,A1
itself,pronoun,A2
ivory,noun,B1
jacket,n.,A1
jade,noun,B1
jail/gaol,noun,B1
jam,n.,A2
jar,noun,B1
jaw,noun,B2
jazz,n.,A2
jealous,adjective,B1
jealously,adverb,B2
jeans,n.,A1
jelly,noun,A2
jeopardize/jeopardise,verb,B2
jet,n.,B2
jewel,noun,B1
jeweler/jeweller,noun,B2
jewellery,n.,A2
jewelry,n.,A2
jewelry/jewellery,noun,A1
job,n.,A1
jog,verb,B1
jogging,noun,B1
join,v.,A1
joint,noun,B2
joke,verb,B1
journal,n.,B1
journalism,n.,B2
journalist,n.,A2
journey,n.,B1
joy,n.,B2
judge,verb,A1
judgement,n.,B2
judgment,n.,B2
judgment/judgement,noun,B1
judicial,adj.,C1
judo,noun,B2
jug,noun,B1
juice,n.,A1
juicy,adjective,B1
jump,verb,A1
jumper,noun,B1
junction,n.,C1
jungle,noun,B1
junior,adj.,B2
junk,noun,A2
junk food,noun,B2
jurisdiction,n.,C1
juror,noun,B2
jury,n.,B2
just,adj.,C1
justice,n.,B2
justification,n.,C1
justify,v.,B2
kangaroo,noun,B2
karaoke,noun,B2
keen,adj.,B1
keep,v.,A1
keeper,noun,B2
kerosene,noun,B2
kettle,noun,B1
key,noun,A1
keyboard,n.,B1
keystroke,noun,B2
kick,verb,A1
kid,n.,A2
kidnap,v.,C1
kidney,n.,C1
kill,v.,A2
killer,noun,A2
killing,n.,B1
kilo,noun,A2
kilogram/kilogramme,noun,A2
kilometer,n.,A2
kilometer/kilometre,noun,A2
kilometre,n.,A1
kind,noun,A1
kindly,adverb,B1
kindness,noun,B1
king,n.,A2
kingdom,n.,C1
kiss,verb,B1
kit,n.,B2
kitchen,n.,A1
kite,noun,A1
kitten,noun,B1
knee,n.,A2
kneel,verb,B2
knife,n.,A2
knit,verb,B1
knock,verb,B1
knot,noun,B2
know,v.,A1
knowingly,adverb,B2
knowledge,n.,A2
known,adjective,B2
lab,n.,A2
label,noun,B2
labor,n.,B2
labor/labour,noun,A2
laboratory,n.,B1
laborer/labourer,noun,B2
labour,n.,B2
lack,verb,B2
lad,n.,C1
ladder,n.,B2
lady,n.,A2
lake,n.,A2
lamb,noun,B1
lame,adjective,B2
lamp,n.,A2
lance,noun,B2
land,verb,A2
landing,n.,B2
landlady,noun,B2
landlord,n.,C1
landmark,n.,C1
landscape,n.,B2
landslide,noun,B2
lane,n.,B2
language,n.,A1
lap,n.,C1
laptop,n.,A2
large,adj.,A1
large-scale,adj.,C1
largely,adv.,B2
lark,noun,B2
laser,n.,C1
last,verb,B1
last minute,noun,B2
last name,noun,A1
last-minute,adjective,B2
lasting,adjective,B1
lastly,adverb,B2
late,adverb,A1
latecomer,noun,B1
lately,adv.,B2
later,adverb,A1
latest,adjective,A2
latter,pronoun,A2
laugh,verb,A1
laughter,n.,A2
launch,verb,B1
laundry,noun,B2
lava,noun,B2
law,n.,A2
lawful,adjective,B1
lawmaker,noun,B2
lawn,n.,C1
lawsuit,n.,C1
lawyer,n.,A2
lay,v.,B1
layabout,noun,B2
layer,n.,B1
layout,n.,C1
laziness,noun,A2
lazy,adj.,A2
lead,verb,B1
leader,n.,A2
leadership,n.,B2
leading,adj.,B1
leaf,n.,B1
leaflet,n.,B2
league,n.,B2
leak,verb,B2
lean,v.,B2
leap,verb,B1
learn,v.,A1
learner,noun,A2
learning,n.,A2
lease,noun,B2
leash,noun,B2
least,pronoun,B2
leather,n.,B1
leave,verb,A1
lecture,noun,B1
lecturer,noun,B2
leek,noun,B2
left,noun,A2
left-hand,adjective,A2
leg,n.,A1
legacy,n.,C1
legal,adj.,B1
legally,adverb,B1
legend,n.,B2
legendary,adj.,C1
legislate,verb,B2
legislation,n.,C1
legislative,adj.,C1
legislator,noun,B2
legislature,n.,C1
legitimate,adj.,C1
leisure,n.,B1
leisurely,adverb,B2
lemon,n.,A2
lemonade,noun,A2
lend,v.,A2
length,n.,B1
lengthen,verb,B2
lengthy,adj.,C1
lens,n.,B2
leopard,noun,B2
lesbian,adj.,C1
less,pronoun,A2
lessen,verb,B1
lesser,adj.,C1
lesson,n.,A1
lest,conjunction,B2
let,v.,A1
lethal,adj.,C1
letter,n.,A1
lettuce,noun,B1
level,verb,B2
liable,adj.,C1
liar,noun,B1
liberal,adjective,B2
liberate,verb,B1
liberation,n.,C1
liberty,n.,C1
librarian,noun,B1
library,n.,A1
licence,n.,B2
license,v.,C1
license/licence,verb,A2
lick,verb,B2
lid,noun,B2
lie,verb,A2
lie1,v.,A1
life,n.,A1
lifeguard,noun,B1
lifeless,adjective,B2
lifelong,adj.,C1
lifestyle,n.,A2
lifetime,n.,B2
lift,v.,A2
light,verb,B1
lighten,verb,B2
lighter,noun,B1
lighting,n.,B2
lightly,adverb,B1
lightning,noun,B1
like,verb,A1
likelihood,n.,C1
likely,adj.,A2
likeness,noun,B1
likewise,adv.,B2
lily,noun,A1
limb,n.,C1
limit,verb,B1
limitation,n.,B2
limited,adj.,B2
limp,verb,B1
line,verb,B2
line-up,n.,C1
linear,adj.,C1
linen,noun,B2
liner,noun,B2
ling,noun,B2
linger,v.,C1
link,verb,B1
lion,n.,A1
lip,n.,B1
liquid,noun,B1
list,verb,B2
listen,v.,A1
listener,n.,A2
listing,n.,C1
liter/litre,noun,A2
literacy,n.,C1
literal,adjective,B2
literally,adv.,B2
literary,adj.,B2
literature,n.,B1
litre,n.,B2
litter,n.,B2
little,pronoun,B1
live,verb,A1
live1,v.,A1
lively,adj.,B2
liver,n.,C1
living,noun,B2
living room,noun,A1
load,verb,B2
loaf,noun,B1
loan,n.,B2
lobby,noun,B2
local,adjective,A2
locate,v.,B1
located,adj.,B1
location,n.,B1
lock,verb,B1
lodge,noun,B1
log,noun,B1
logic,n.,C1
logical,adj.,B2
logo,n.,B2
loneliness,noun,B2
lonely,adj.,B1
long,adverb,A2
long-distance,adjective,B2
long-standing,adj.,C1
long-term,adjective,B2
long-time,adj.,C1
look,verb,A1
loom,v.,C1
loop,n.,C1
loose,adj.,B2
loosely,adverb,B2
lord,n.,B2
lorry,n.,A2
lose,v.,A1
loss,n.,B1
lost,adj.,A2
lot,pronoun,A1
lottery,n.,B2
loud,adverb,B1
loudly,adv.,A2
loudspeaker,noun,B1
lousy,adjective,B2
love,verb,A1
lovely,adj.,A2
lover,noun,A2
lovingly,adverb,B1
low,adverb,A2
lower,v.,B2
lowland,noun,B2
loyal,adj.,B2
loyalty,n.,C1
luck,n.,A2
luckily,adverb,A2
lucky,adj.,A2
lucrative,adjective,B2
luggage,noun,B1
lunch,n.,A1
lunchtime,noun,A2
lung,n.,B2
lush,adjective,B2
luxurious,adjective,B2
luxury,n.,B1
lyric,n.,B2
lyrics,noun,B2
machine,n.,A1
machinery,n.,C1
mad,adj.,B1
madam,noun,B2
madame,noun,B2
madness,noun,B2
maestro,noun,B2
magazine,n.,A1
magic,noun,A2
magical,adj.,C1
magician,noun,B1
magistrate,n.,C1
magnetic,adj.,C1
magnificent,adj.,B2
magnify,verb,B2
magnitude,n.,C1
mail,verb,B1
mailbox,noun,B1
main,adj.,A1
main course,noun,A2
mainland,n.,C1
mainly,adv.,B1
maintain,v.,B2
maintenance,n.,C1
major,adj.,A2
majority,n.,B2
make,verb,A1
make-up,n.,B2
maker,noun,A2
making,n.,B2
malady,noun,B2
malaria,noun,B2
male,noun,A2
mall,n.,A1
mama/mamma,noun,B2
man,n.,A1
manage,v.,A2
management,n.,B1
manager,n.,A2
mandate,n.,C1
mandatory,adj.,C1
mango,noun,B2
manifest,v.,C1
manipulate,v.,C1
manipulation,n.,C1
mankind,noun,B1
manner,n.,A2
mansion,noun,B2
manual,noun,B2
manufacture,v.,B2
manufacturer,noun,B2
manufacturing,n.,B2
manuscript,n.,C1
many,pronoun,A1
map,noun,A1
maple,noun,B1
marathon,n.,B2
marble,noun,B1
march,verb,B1
margin,n.,B2
marginal,adj.,C1
marine,adj.,C1
mark,verb,A2
marked,adjective,B1
marker,n.,B2
market,verb,B1
marketing,n.,B1
marketplace,n.,C1
marriage,n.,B1
married,adj.,A1
marry,v.,A2
martial,adj.,B2
martial art,noun,B2
marvelous/marvellous,adjective,A2
mash,verb,B1
mask,n.,C1
mass,noun,B2
massacre,n.,C1
massage,noun,B2
masseur,noun,B2
massive,adj.,B2
master,noun,B2
masterpiece,noun,B2
mastery,noun,B2
match,verb,B1
matching,adj.,B2
mate,noun,B2
material,noun,A2
math,n.,A2
math/maths,noun,A1
mathematical,adj.,C1
